customer_id,gender,age,city,state,region,signup_date,tenure_months,plan_id,contract_type,payment_method,device_type,churn,transaction_frequency,monthly_revenue,late_payment_days,complaint_count,data_used_total,churn_probability,revenue_at_risk,segment_cluster,segment_name
31,Female,18,St. Louis,MO,Central,2017-10-09,88,P002,Month-to-Month,Cash,5G Device,0,22,295.59,18,5.0,187.35,0.531189419883079,157.0142806232393,0,Growth Customers
32,Female,35,Houston,TX,South,2017-12-25,85,P001,Month-to-Month,Credit Card,Smartphone,0,23,269.95,41,1.0,113.26,0.4909212958780364,132.52420382227592,2,High-Value At Risk
33,Male,71,Chicago,IL,North,2018-04-13,81,P010,24 Month,Credit Card,Smartphone,0,23,2607.65,35,1.0,1442.3700000000001,0.5447536189790768,1420.5267745307897,1,Premium Loyalists
34,Male,52,Minneapolis,MN,North,2017-01-13,97,P006,Month-to-Month,Debit Card,Smartphone,0,21,1322.6599999999999,0,1.0,698.95,0.37116756501163234,490.9284915382856,3,Budget Customers
35,Male,19,Minneapolis,MN,North,2018-05-21,80,P003,12 Month,Wallet,Tablet,0,16,399.92,29,1.0,207.5,0.5597106188809223,223.83947070285848,2,High-Value At Risk
36,Male,39,Minneapolis,MN,North,2019-01-09,72,P002,Month-to-Month,Bank Transfer,5G Device,0,24,384.34,24,2.0,216.54,0.6686541414986087,256.9905327435753,2,High-Value At Risk
37,Male,24,Chicago,IL,North,2018-05-17,80,P004,12 Month,Credit Card,Smartphone,0,26,842.04,44,1.0,518.11,0.5581308886535368,469.96853348182407,2,High-Value At Risk
38,Male,32,Boston,MA,East,2016-02-22,107,P005,24 Month,Wallet,Smartphone,0,25,1180.44,41,3.0,843.62,0.29088696752079424,343.3746119402464,0,Growth Customers
39,Male,64,Boston,MA,East,2017-12-27,85,P007,12 Month,Debit Card,Tablet,0,20,2023.49,11,4.0,1141.41,0.5554197744317463,1123.8863593648944,1,Premium Loyalists
40,Female,50,Detroit,MI,Central,2016-09-21,100,P006,Month-to-Month,Bank Transfer,5G Device,0,27,1218.01,37,3.0,947.5500000000001,0.375091549871892,456.8652586594632,0,Growth Customers
41,Male,18,Portland,OR,West,2018-08-04,78,P002,Month-to-Month,Credit Card,Smartphone,0,16,220.1,4,3.0,195.94,0.6325404695360963,139.2221573448948,2,High-Value At Risk
42,Female,28,Baltimore,MD,East,2019-03-15,70,P006,Month-to-Month,Credit Card,Smartphone,0,17,895.58,26,2.0,499.06,0.6884865757472054,616.5948075076823,2,High-Value At Risk
43,Female,38,San Francisco,CA,West,2015-04-14,118,P005,24 Month,Wallet,Feature Phone,0,20,873.12,44,2.0,685.66,0.18531924990214527,161.80594347456108,3,Budget Customers
44,Male,35,Nashville,TN,Central,2014-05-08,120,P006,Month-to-Month,Debit Card,Smartphone,0,31,2321.03,0,3.0,1212.22,0.17657694298424767,409.8403819747284,1,Premium Loyalists
45,Female,42,Charlotte,NC,South,2018-03-15,82,P004,12 Month,Credit Card,Smartphone,0,25,913.54,1,0.0,723.81,0.5599297986821824,511.5182682881209,2,High-Value At Risk
46,Female,28,Detroit,MI,Central,2014-09-08,120,P003,12 Month,Bank Transfer,5G Device,0,22,479.7,41,0.0,331.58,0.14909670169665715,71.52168780388644,3,Budget Customers
47,Male,33,Minneapolis,MN,North,2015-12-05,110,P003,12 Month,Debit Card,Smartphone,0,23,514.6899999999999,64,1.0,413.15,0.22693039319658023,116.79880407434787,3,Budget Customers
48,Male,28,Nashville,TN,Central,2018-01-14,84,P005,24 Month,Cash,5G Device,0,20,851.81,26,1.0,598.5600000000001,0.5276012421102603,449.4160140419408,2,High-Value At Risk
49,Female,33,Philadelphia,PA,East,2017-06-20,91,P006,Month-to-Month,Bank Transfer,Feature Phone,0,14,908.67,34,1.0,660.11,0.44214776636007413,401.76641085840856,3,Budget Customers
50,Male,47,Minneapolis,MN,North,2016-02-08,108,P013,Month-to-Month,Wallet,Smartphone,0,17,1133.77,7,1.0,644.59,0.2587880400913073,293.40611621432146,3,Budget Customers
51,Male,42,Seattle,WA,North,2016-02-26,107,P002,Month-to-Month,Cash,Smartphone,0,29,435.31,7,2.0,263.85,0.280430125169607,122.07403778758163,3,Budget Customers
52,Male,29,Minneapolis,MN,North,2014-11-21,120,P013,Month-to-Month,Wallet,5G Device,0,17,1044.95,79,2.0,738.61,0.1582872696356888,165.402282405813,3,Budget Customers
53,Female,53,Seattle,WA,North,2016-12-02,98,P002,Month-to-Month,Wallet,Smartphone,0,18,226.18,0,2.0,157.15,0.38022150413987954,85.99849980635796,3,Budget Customers
54,Female,52,Cincinnati,OH,Central,2018-12-20,73,P008,24 Month,Credit Card,Smartphone,0,24,2801.85,0,2.0,1714.27,0.6828222133699313,1913.165418530542,1,Premium Loyalists
55,Female,38,Atlanta,GA,South,2019-10-08,63,P003,12 Month,Debit Card,Smartphone,0,27,661.44,8,2.0,360.24,0.7625482619112672,504.37992235858866,2,High-Value At Risk
56,Female,35,Houston,TX,South,2017-03-30,94,P014,12 Month,Cash,Tablet,0,17,1650.8400000000001,3,1.0,1084.7,0.4241730540929476,700.2418446188017,3,Budget Customers
57,Male,61,Houston,TX,South,2017-10-05,88,P001,Month-to-Month,Credit Card,Smartphone,0,25,315.55,6,4.0,136.43,0.5168995805540407,163.10766264382755,0,Growth Customers
58,Female,59,Denver,CO,North,2016-02-06,108,P004,12 Month,Debit Card,Smartphone,0,17,660.18,21,1.0,421.74,0.25624144805956944,169.16547917996655,3,Budget Customers
59,Male,18,Seattle,WA,North,2014-06-22,120,P006,Month-to-Month,Debit Card,Feature Phone,0,20,968.22,14,3.0,579.05,0.17948368449524052,173.77969300198177,0,Growth Customers
60,Male,54,Miami,FL,South,2014-12-02,120,P004,12 Month,Wallet,5G Device,0,30,894.11,33,2.0,692.46,0.17431537375324863,155.85711882651714,3,Budget Customers
61,Female,60,Nashville,TN,Central,2018-08-01,78,P004,12 Month,Credit Card,5G Device,0,26,773.54,0,2.0,673.05,0.6371674305318771,492.87449421362817,2,High-Value At Risk
62,Male,47,Chicago,IL,North,2014-07-17,120,P003,12 Month,Bank Transfer,Tablet,0,20,483.2,0,5.0,257.72,0.19869731376809877,96.01054201274532,0,Growth Customers
63,Female,32,Cincinnati,OH,Central,2019-04-05,69,P015,24 Month,Debit Card,Smartphone,0,21,2820.42,18,3.0,2787.6,0.8046721541588441,2269.513437032687,1,Premium Loyalists
64,Female,34,Detroit,MI,Central,2018-07-16,78,P001,Month-to-Month,Credit Card,Smartphone,0,21,280.26,30,3.0,106.84,0.6073373086234198,170.21235411479964,2,High-Value At Risk
65,Female,60,Minneapolis,MN,North,2016-10-23,99,P004,12 Month,Credit Card,Smartphone,0,16,515.58,31,3.0,336.56,0.3683984993407775,189.9388982901181,0,Growth Customers
66,Female,49,Cincinnati,OH,Central,2014-04-24,120,P007,12 Month,Bank Transfer,Tablet,0,17,1325.83,39,0.0,1020.47,0.1613313207978921,213.8979050534693,3,Budget Customers
67,Female,45,Washington,DC,East,2018-04-07,82,P009,12 Month,Bank Transfer,Smartphone,0,25,1858.2,6,3.0,1125.57,0.5870644433221817,1090.883148581278,1,Premium Loyalists
68,Male,68,Portland,OR,West,2017-09-22,88,P008,24 Month,Bank Transfer,Smartphone,0,25,2569.44,0,1.0,1515.3,0.48913627825522143,1256.8063188000963,1,Premium Loyalists
69,Male,25,Philadelphia,PA,East,2018-11-10,74,P015,24 Month,Debit Card,Smartphone,0,23,3872.1,0,2.0,3611.02,0.7777923522432987,3011.689767121277,1,Premium Loyalists
70,Male,37,Minneapolis,MN,North,2016-04-10,106,P006,Month-to-Month,Credit Card,Smartphone,0,15,968.36,0,2.0,727.03,0.3077256573173987,297.9892175198762,3,Budget Customers
71,Male,40,Los Angeles,CA,West,2018-08-24,77,P004,12 Month,Debit Card,Smartphone,0,25,787.5,37,3.0,605.8100000000001,0.6359662849777615,500.8234494199872,2,High-Value At Risk
72,Male,35,Phoenix,AZ,West,2018-08-09,77,P001,Month-to-Month,Debit Card,Smartphone,0,16,192.37,33,1.0,131.54,0.5968855569297736,114.82287458658055,2,High-Value At Risk
73,Female,18,Boston,MA,East,2017-08-31,89,P001,Month-to-Month,Debit Card,Smartphone,0,17,187.7,36,1.0,83.33,0.4472195982766987,83.94311859653634,3,Budget Customers
74,Male,51,Seattle,WA,North,2016-04-11,106,P001,Month-to-Month,Credit Card,Tablet,0,19,221.61,127,1.0,118.95,0.2273478172962278,50.38254979101705,3,Budget Customers
75,Male,28,Dallas,TX,South,2017-09-13,88,P004,12 Month,Wallet,Smartphone,0,17,581.21,24,2.0,390.81,0.48909738232349936,284.26828958024106,2,High-Value At Risk
76,Male,28,Miami,FL,South,2016-11-21,98,P010,24 Month,Credit Card,Smartphone,0,24,2463.1,72,2.0,1216.21,0.32665378240485354,804.5809314413947,1,Premium Loyalists
77,Male,33,Denver,CO,North,2016-12-19,97,P006,Month-to-Month,Bank Transfer,Feature Phone,0,26,1462.61,34,1.0,930.64,0.36865691343316054,539.2012881564749,3,Budget Customers
78,Female,35,Minneapolis,MN,North,2019-07-27,66,P004,12 Month,Debit Card,Smartphone,0,24,881.61,0,0.0,492.08,0.7165174440210867,631.6889438234303,2,High-Value At Risk
79,Female,36,Atlanta,GA,South,2016-05-04,105,P005,24 Month,Cash,Smartphone,0,25,1015.54,10,2.0,667.63,0.30586463446087614,310.61777088039815,3,Budget Customers
80,Female,51,Kansas City,MO,Central,2018-11-30,74,P004,12 Month,Wallet,Smartphone,0,27,882.81,27,1.0,688.23,0.6503820549478648,574.1637819285245,2,High-Value At Risk
81,Female,53,Charlotte,NC,South,2017-12-30,85,P006,Month-to-Month,Credit Card,Smartphone,0,23,1584.26,24,0.0,789.61,0.4797827174536586,760.1005679531331,3,Budget Customers
82,Male,35,Miami,FL,South,2017-10-22,87,P001,Month-to-Month,Debit Card,Smartphone,0,26,265.55,110,1.0,138.22,0.4325175325942052,114.8550307803912,3,Budget Customers
83,Female,30,Phoenix,AZ,West,2018-02-27,83,P005,24 Month,Bank Transfer,Smartphone,0,18,834.82,53,0.0,527.84,0.5042575621214108,420.9642980101962,2,High-Value At Risk
84,Male,36,St. Louis,MO,Central,2019-01-06,72,P014,12 Month,Bank Transfer,Feature Phone,0,19,1798.82,11,1.0,1453.85,0.701936864727387,1262.6580710089183,1,Premium Loyalists
85,Male,26,Boston,MA,East,2019-02-03,71,P001,Month-to-Month,Credit Card,5G Device,0,25,246.83,73,2.0,126.39999999999999,0.654377483456927,161.51999424167332,2,High-Value At Risk
86,Male,38,Seattle,WA,North,2019-05-26,68,P001,Month-to-Month,Debit Card,Smartphone,0,13,120.11,1,3.0,65.10000000000001,0.7313372177888442,87.84091322861808,2,High-Value At Risk
87,Female,26,Miami,FL,South,2016-07-23,102,P003,12 Month,Debit Card,Feature Phone,0,24,539.98,14,0.0,393.08,0.3094173563781472,167.07918409707193,3,Budget Customers
88,Male,66,Philadelphia,PA,East,2017-10-25,87,P001,Month-to-Month,Wallet,Smartphone,0,19,266.37,50,3.0,77.63,0.48737074908163047,129.8209464328739,0,Growth Customers
89,Male,40,Washington,DC,East,2015-04-30,117,P006,Month-to-Month,Cash,5G Device,0,19,1178.15,57,0.0,700.82,0.1624290741201271,191.36581367462776,3,Budget Customers
90,Female,31,Cincinnati,OH,Central,2016-02-19,107,P013,Month-to-Month,Bank Transfer,Tablet,0,30,1929.93,0,0.0,1051.73,0.2569148669150337,495.82770910533094,1,Premium Loyalists
91,Male,47,Phoenix,AZ,West,2015-02-02,120,P001,Month-to-Month,Bank Transfer,Smartphone,0,27,284.47,0,0.0,149.64,0.15675797539170194,44.59294125967745,3,Budget Customers
92,Female,22,Atlanta,GA,South,2015-05-15,117,P002,Month-to-Month,Cash,5G Device,0,21,323.2,34,1.0,162.64,0.17402252693726245,56.24408070612322,3,Budget Customers
93,Male,29,Atlanta,GA,South,2017-12-09,86,P015,24 Month,Bank Transfer,Smartphone,0,22,3279.5,48,1.0,3920.69,0.6845978617771676,2245.1386876982215,1,Premium Loyalists
94,Male,44,Baltimore,MD,East,2017-04-29,93,P001,Month-to-Month,Credit Card,5G Device,0,27,310.13,56,2.0,123.65,0.40080274829039764,124.30095632730102,3,Budget Customers
95,Male,40,Washington,DC,East,2015-03-04,119,P005,24 Month,Bank Transfer,Smartphone,0,25,931.1600000000001,0,0.0,676.58,0.17277415530968543,160.8803824581667,3,Budget Customers
96,Female,52,Atlanta,GA,South,2018-09-16,76,P009,12 Month,Cash,Smartphone,0,21,1389.06,29,1.0,977.97,0.6277879398896149,872.0351157830685,2,High-Value At Risk
97,Male,18,Kansas City,MO,Central,2018-12-06,73,P013,Month-to-Month,Bank Transfer,Smartphone,0,23,1328.65,36,1.0,833.02,0.6471552973059133,859.8428857655017,2,High-Value At Risk
98,Male,49,Chicago,IL,North,2015-03-23,119,P014,12 Month,Credit Card,Smartphone,0,23,2580.2,29,1.0,1328.01,0.1568143797037556,404.6124625116302,1,Premium Loyalists
99,Male,31,Houston,TX,South,2015-03-23,119,P004,12 Month,Debit Card,Smartphone,0,22,848.61,0,1.0,499.88,0.17336649039962287,147.12053741802396,3,Budget Customers
100,Female,23,Kansas City,MO,Central,2016-12-28,97,P008,24 Month,Credit Card,Tablet,0,19,2341.91,107,2.0,1445.34,0.3477117154536693,814.3095435381026,1,Premium Loyalists
101,Female,18,Philadelphia,PA,East,2015-03-04,119,P005,24 Month,Bank Transfer,Feature Phone,0,21,814.21,10,1.0,750.14,0.1865086920580717,151.85724216060257,3,Budget Customers
102,Female,31,Boston,MA,East,2015-04-28,117,P005,24 Month,Bank Transfer,Smartphone,0,23,1138.94,73,0.0,611.87,0.15412171462596708,175.53538565609895,3,Budget Customers
103,Male,59,Philadelphia,PA,East,2017-12-19,85,P014,12 Month,Credit Card,Smartphone,0,19,2290.2599999999998,53,2.0,1059.63,0.48017189509487,1099.718484459977,1,Premium Loyalists
104,Female,51,Baltimore,MD,East,2015-08-29,113,P008,24 Month,Credit Card,5G Device,0,28,3005.53,42,2.0,2200.02,0.2493679091556303,749.4827320045216,1,Premium Loyalists
105,Female,59,Charlotte,NC,South,2017-12-28,85,P001,Month-to-Month,Cash,5G Device,0,19,220.63,0,1.0,119.06,0.5166287484220755,113.98380076436251,2,High-Value At Risk
106,Female,37,Baltimore,MD,East,2019-02-15,71,P004,12 Month,Debit Card,Smartphone,0,22,758.98,0,1.0,416.61,0.6771988317557992,513.9803693260164,2,High-Value At Risk
107,Male,39,Houston,TX,South,2017-03-24,94,P008,24 Month,Debit Card,Feature Phone,0,12,1368.88,61,0.0,1109.77,0.39782126602833195,544.569574640863,3,Budget Customers
108,Male,18,Seattle,WA,North,2018-04-28,81,P002,Month-to-Month,Credit Card,Smartphone,0,24,344.44,43,2.0,241.57,0.5611675436228135,193.2885487254419,2,High-Value At Risk
109,Male,18,St. Louis,MO,Central,2014-12-29,120,P007,12 Month,Wallet,Smartphone,0,29,2754.97,0,2.0,1650.1200000000001,0.17988464177132818,495.57679154075595,1,Premium Loyalists
110,Female,36,Kansas City,MO,Central,2014-09-25,120,P004,12 Month,Wallet,Tablet,0,19,623.51,0,3.0,395.55,0.1845668281816395,115.07926303953404,0,Growth Customers
111,Male,20,Cincinnati,OH,Central,2019-03-31,70,P005,24 Month,Wallet,5G Device,0,25,1183.48,0,0.0,736.96,0.6825664800021055,807.8037777528918,2,High-Value At Risk
112,Male,27,Minneapolis,MN,North,2015-04-20,118,P013,Month-to-Month,Credit Card,Smartphone,0,21,1361.22,41,2.0,870.35,0.18088798556378147,246.22834370913063,3,Budget Customers
113,Male,39,Nashville,TN,Central,2015-05-04,117,P010,24 Month,Credit Card,Smartphone,0,16,1182.63,11,2.0,1067.49,0.21844613140715258,258.34094838604085,3,Budget Customers
114,Female,55,Houston,TX,South,2019-10-07,63,P006,Month-to-Month,Wallet,Tablet,0,23,1473.91,29,0.0,683.01,0.7214098557228524,1063.2932004484694,2,High-Value At Risk
115,Male,38,Dallas,TX,South,2018-03-22,82,P005,24 Month,Credit Card,Feature Phone,0,20,1078.84,0,1.0,493.84999999999997,0.5419889786392379,584.7193897151553,2,High-Value At Risk
116,Female,20,Atlanta,GA,South,2017-02-09,96,P008,24 Month,Bank Transfer,Smartphone,0,27,4099.63,36,3.0,2201.55,0.38667161725112054,1585.2105622312113,1,Premium Loyalists
117,Female,18,Washington,DC,East,2014-06-24,120,P006,Month-to-Month,Debit Card,5G Device,0,20,1266.45,43,2.0,826.64,0.16694652331247217,211.4294244490804,3,Budget Customers
118,Female,40,Minneapolis,MN,North,2016-02-14,108,P008,24 Month,Debit Card,5G Device,0,23,2400.06,32,5.0,1721.27,0.32668684311215423,784.0680246797568,1,Premium Loyalists
119,Male,30,Houston,TX,South,2015-05-11,117,P013,Month-to-Month,Bank Transfer,Smartphone,0,29,1801.13,6,1.0,1110.53,0.19060305283169532,343.3008765467514,1,Premium Loyalists
120,Female,40,Philadelphia,PA,East,2016-08-18,101,P001,Month-to-Month,Cash,Smartphone,0,22,261.6,62,0.0,140.86,0.28930815427261297,75.68301315771556,3,Budget Customers
121,Female,35,San Diego,CA,West,2019-08-03,65,P005,24 Month,Wallet,Smartphone,0,17,793.75,21,3.0,372.91,0.745469016589573,591.7160319179735,2,High-Value At Risk
122,Female,37,Detroit,MI,Central,2017-05-22,92,P003,12 Month,Debit Card,Smartphone,0,27,603.67,10,1.0,367.05,0.43069579938726127,259.998133216108,3,Budget Customers
123,Male,54,Minneapolis,MN,North,2016-10-25,99,P003,12 Month,Credit Card,5G Device,0,19,495.90999999999997,14,1.0,316.99,0.3494681965711133,173.30477336158077,3,Budget Customers
124,Male,52,Cincinnati,OH,Central,2015-07-05,115,P009,12 Month,Debit Card,Smartphone,0,18,1176.65,0,1.0,1021.1800000000001,0.22620988715918763,266.16986372585814,3,Budget Customers
125,Male,43,Boston,MA,East,2014-05-23,120,P004,12 Month,Debit Card,Smartphone,0,20,670.56,4,2.0,470.13,0.17764377675249926,119.12081093915589,3,Budget Customers
126,Female,26,Seattle,WA,North,2019-03-01,71,P007,12 Month,Credit Card,5G Device,0,19,1508.1399999999999,4,3.0,915.88,0.7070760107455639,1066.3696148458148,2,High-Value At Risk
127,Male,31,Houston,TX,South,2015-09-10,113,P015,24 Month,Debit Card,Smartphone,0,26,4707.52,48,4.0,3729.89,0.318430191878562,1499.0164968721683,1,Premium Loyalists
128,Male,48,Nashville,TN,Central,2014-08-07,120,P004,12 Month,Cash,Feature Phone,0,20,587.26,66,2.0,453.14,0.16042748679723096,94.21264589654184,3,Budget Customers
129,Male,55,Philadelphia,PA,East,2014-06-07,120,P013,Month-to-Month,Debit Card,Tablet,0,16,774.45,23,3.0,573.47,0.1828428966022939,141.6026812736465,0,Growth Customers
130,Female,21,San Diego,CA,West,2016-05-03,105,P009,12 Month,Bank Transfer,Smartphone,0,20,1216.68,37,1.0,768.29,0.2807217093564415,341.54848933979525,3,Budget Customers
131,Male,58,Houston,TX,South,2015-08-20,114,P015,24 Month,Credit Card,Smartphone,0,21,3483.51,49,3.0,3464.33,0.3323967156419881,1157.907282906022,1,Premium Loyalists
132,Female,28,New York,NY,East,2014-09-11,120,P015,24 Month,Debit Card,Smartphone,0,12,1459.45,46,2.0,1836.71,0.22394609915761485,326.838134415581,1,Premium Loyalists
133,Female,47,Philadelphia,PA,East,2017-11-03,87,P003,12 Month,Debit Card,5G Device,0,19,458.45,0,3.0,238.27,0.5200238578984359,238.4049376535379,2,High-Value At Risk
134,Male,74,Boston,MA,East,2014-05-03,120,P001,Month-to-Month,Credit Card,Smartphone,0,21,289.09,26,1.0,119.43,0.15515730528362068,44.854425384441896,3,Budget Customers
135,Female,18,Nashville,TN,Central,2016-04-29,105,P004,12 Month,Debit Card,Smartphone,0,18,805.62,0,2.0,518.35,0.30768480454471436,247.8770322373128,3,Budget Customers
136,Male,45,New York,NY,East,2016-06-21,103,P001,Month-to-Month,Bank Transfer,Smartphone,0,25,273.07,60,1.0,119.93,0.2800312015671738,76.46812021194815,3,Budget Customers
137,Female,34,Dallas,TX,South,2015-11-13,111,P006,Month-to-Month,Credit Card,Smartphone,0,28,1810.04,4,2.0,1086.09,0.24853859914353765,449.86480599376887,1,Premium Loyalists
138,Male,44,Atlanta,GA,South,2019-11-17,62,P005,24 Month,Debit Card,Smartphone,0,22,989.75,42,3.0,706.68,0.7800540471334823,772.058493150364,2,High-Value At Risk
139,Female,30,Philadelphia,PA,East,2019-04-12,69,P002,Month-to-Month,Wallet,Smartphone,0,19,242.84,43,2.0,138.08,0.6912154693218383,167.8547645701152,2,High-Value At Risk
140,Male,18,St. Louis,MO,Central,2019-06-19,67,P014,12 Month,Cash,Smartphone,0,19,1833.12,43,1.0,1462.74,0.7357601741044263,1348.736690354306,1,Premium Loyalists
141,Male,28,Boston,MA,East,2017-08-16,89,P003,12 Month,Cash,Smartphone,0,22,493.52,71,4.0,431.35,0.48961750807238713,241.6360325838845,0,Growth Customers
142,Female,43,Denver,CO,North,2015-01-31,120,P003,12 Month,Credit Card,Smartphone,0,22,481.04,2,2.0,339.84,0.17681117201116142,85.05324618424909,3,Budget Customers
143,Female,56,St. Louis,MO,Central,2014-07-30,120,P003,12 Month,Bank Transfer,Smartphone,0,23,480.03999999999996,0,1.0,337.38,0.16904728578924774,81.14945907027048,3,Budget Customers
144,Female,43,Philadelphia,PA,East,2016-02-17,108,P003,12 Month,Credit Card,Smartphone,0,22,487.24,32,0.0,377.15000000000003,0.24490243032375758,119.32626015094765,3,Budget Customers
145,Male,57,Chicago,IL,North,2019-06-27,67,P001,Month-to-Month,Credit Card,Smartphone,0,16,214.39,0,1.0,76.48,0.7148715536999488,153.261312397732,2,High-Value At Risk
146,Male,32,Kansas City,MO,Central,2017-02-02,96,P004,12 Month,Debit Card,Smartphone,0,22,732.5,0,1.0,537.34,0.3989446790660398,292.22697741587416,3,Budget Customers
